,internPnl,balance,pnl
2022-09-23,0.0,100000000.0,1.0
2022-09-26,-6585.348059837067,99993414.65194017,0.9999341465194017
2022-09-27,-7327.648138789374,99986087.00380138,0.9998608700380137
2022-09-28,10954.145461643782,99997041.14926302,0.9999704114926302
2022-09-29,-1067.4559889012894,99995973.69327411,0.9999597369327411
2022-09-30,4365.113209104435,100000338.80648322,1.0000033880648322
2022-10-03,12339.342760193478,100012678.14924341,1.0001267814924342
2022-10-04,2784.5953587349736,100015462.74460214,1.0001546274460213
2022-10-05,-8916.253806755883,100006546.49079539,1.000065464907954
2022-10-06,-3558.1131899890115,100002988.37760541,1.0000298837760542
2022-10-07,-5842.2711490438505,99997146.10645635,0.9999714610645636
2022-10-10,-1985.7880500381593,99995160.31840633,0.9999516031840633
2022-10-11,-1775.8983917612504,99993384.42001456,0.9999338442001456
2022-10-12,858.0973279504606,99994242.51734251,0.9999424251734251
2022-10-13,-2689.659500774381,99991552.85784173,0.9999155285784173
2022-10-14,-4002.3337027323914,99987550.524139,0.99987550524139
2022-10-17,2580.8337001202335,99990131.35783912,0.9999013135783912
2022-10-18,-785.2293254367228,99989346.1285137,0.9998934612851369
2022-10-19,-5009.712970213197,99984336.41554348,0.9998433641554348
2022-10-20,-5250.151229331457,99979086.26431414,0.9997908626431414
2022-10-21,-2489.0846825362087,99976597.1796316,0.9997659717963161
2022-10-24,5780.47249079274,99982377.6521224,0.9998237765212239
2022-10-25,7159.5716994933855,99989537.2238219,0.9998953722382189
2022-10-26,3351.869630767693,99992889.09345266,0.9999288909345266
2022-10-27,8893.076618363044,100001782.17007102,1.0000178217007103
2022-10-28,-339.71427117153576,100001442.45579985,1.0000144245579985
2022-10-31,-5843.876319709327,99995598.57948014,0.9999559857948014
2022-11-01,437.5670826699925,99996036.14656281,0.9999603614656282
2022-11-02,-5105.685360832593,99990930.46120198,0.9999093046120198
2022-11-03,-5904.15765298923,99985026.30354899,0.99985026303549
2022-11-04,911.3016870108961,99985937.60523601,0.9998593760523601
2022-11-07,-1651.6536609200234,99984285.95157509,0.9998428595157508
2022-11-08,138.97586432641424,99984424.9274394,0.9998442492743941
2022-11-09,6393.196421700755,99990818.1238611,0.999908181238611
2022-11-10,19568.111500760315,100010386.23536187,1.0001038623536187
2022-11-11,-3827.275789540677,100006558.95957233,1.0000655895957233
2022-11-14,-3372.526055588787,100003186.43351674,1.0000318643351673
2022-11-15,4694.223721766425,100007880.65723851,1.0000788065723851
2022-11-16,4396.392755930381,100012277.04999444,1.0001227704999445
2022-11-17,-4160.435405928768,100008116.61458851,1.000081166145885
2022-11-18,971.3523053042475,100009087.9668938,1.000090879668938
2022-11-21,-1413.8789493805566,100007674.08794443,1.0000767408794444
2022-11-22,82.40240254846685,100007756.49034698,1.0000775649034699
2022-11-23,2289.853381231671,100010046.34372821,1.000100463437282
2022-11-25,-1945.015397925488,100008101.3283303,1.000081013283303
2022-11-28,1448.9478313914603,100009550.27616167,1.0000955027616167
2022-11-29,305.90678603028823,100009856.18294771,1.000098561829477
2022-11-30,-2786.7407767931245,100007069.44217092,1.0000706944217093
2022-12-01,12265.151279314894,100019334.59345023,1.0001933459345023
2022-12-02,109.60052244988697,100019444.19397268,1.0001944419397268
2022-12-05,349.0035461725272,100019793.19751886,1.0001979319751886
2022-12-06,-880.8230316936231,100018912.37448716,1.0001891237448717
2022-12-07,3963.5038916286057,100022875.8783788,1.000228758783788
2022-12-08,-1206.477272489442,100021669.4011063,1.000216694011063
2022-12-09,-3240.072347373409,100018429.32875893,1.0001842932875893
2022-12-12,-1975.6472516397669,100016453.68150729,1.000164536815073
2022-12-13,6546.778416944871,100023000.45992424,1.0002300045992423
2022-12-14,778.8427580271402,100023779.30268225,1.0002377930268225
2022-12-15,-7753.304881573162,100016025.99780068,1.0001602599780068
2022-12-16,-1109.8764817457939,100014916.12131894,1.0001491612131894
2022-12-19,-2593.817782461583,100012322.30353647,1.0001232230353647
2022-12-20,-4323.407650117991,100007998.89588636,1.0000799889588636
2022-12-21,636.5897908799568,100008635.48567724,1.0000863548567724
2022-12-22,-3559.6583014426196,100005075.8273758,1.000050758273758
2022-12-23,-3408.96684613684,100001666.86052966,1.0000166686052967
2022-12-27,-4822.536346879635,99996844.32418278,0.9999684432418278
2022-12-28,-3184.0403954713056,99993660.28378731,0.9999366028378731
2022-12-29,709.592754484871,99994369.8765418,0.9999436987654179
2022-12-30,-868.813243221987,99993501.06329857,0.9999350106329857
