,lambda,phi,weights
16,8.0,0.6922394234547221,"[1.50658093e-01 4.70383850e-07 2.62582012e-08 3.80398692e-09
 3.17496412e-09 2.58365373e-02 1.40154768e-07 3.23163944e-08
 3.79535664e-09 3.05256503e-09 6.10438131e-02 3.21358949e-08
 5.91761852e-09 3.72248756e-09 3.24227531e-09 7.25700939e-01
 3.67598554e-02 2.58094866e-08 5.35529102e-09 2.63484671e-09]"
17,8.5,0.6922396812155909,"[1.50658110e-01 2.20054842e-07 3.14641813e-08 4.91163762e-09
 4.16619185e-09 2.58365329e-02 1.17721591e-07 3.76754034e-08
 5.12449026e-09 4.20630595e-09 6.10438034e-02 3.80116209e-08
 7.66593446e-09 5.00039748e-09 4.09541696e-09 7.25701181e-01
 3.67598496e-02 3.15218396e-08 7.20729755e-09 3.63763792e-09]"
18,9.0,0.6922397584712234,"[1.50658124e-01 1.60751904e-07 3.49759233e-08 5.87367743e-09
 5.02259575e-09 2.58365262e-02 1.06409302e-07 4.11459894e-08
 6.20778086e-09 5.15285661e-09 6.10437954e-02 4.17426069e-08
 9.11404442e-09 6.05164721e-09 4.79826670e-09 7.25701245e-01
 3.67598338e-02 3.52839792e-08 8.73353828e-09 4.46721846e-09]"
19,9.5,0.6922401146952641,"[1.50658053e-01 1.98619564e-08 5.95933238e-09 1.16742307e-09
 1.02531631e-09 2.58365330e-02 1.62820687e-08 6.60498352e-09
 1.03633621e-09 8.79355688e-10 6.10438062e-02 6.72676391e-09
 1.77527449e-09 1.10158815e-09 1.10878765e-09 7.25701672e-01
 3.67598641e-02 5.82195484e-09 1.54517892e-09 7.64595899e-10]"
20,10.0,0.6922400029680184,"[1.50658079e-01 5.59913984e-08 1.58566265e-08 2.84954193e-09
 2.50254120e-09 2.58365254e-02 4.79196302e-08 1.86812164e-08
 3.06569629e-09 2.81334957e-09 6.10438096e-02 1.82658595e-08
 4.47430669e-09 2.97675823e-09 2.39644554e-09 7.25701534e-01
 3.67598518e-02 1.57831846e-08 4.02585837e-09 2.25704301e-09]"
21,10.5,0.6922401711282219,"[1.50658042e-01 3.41986099e-09 1.27851350e-09 2.53223718e-10
 2.81868997e-10 2.58365345e-02 2.95487639e-09 1.43760939e-09
 2.64913522e-10 2.95119402e-10 6.10438122e-02 1.43507636e-09
 4.04587219e-10 2.64628961e-10 2.39654511e-10 7.25701739e-01
 3.67598573e-02 1.26779639e-09 4.00952489e-10 2.04234243e-10]"
22,11.0,0.6922401732706034,"[1.50658041e-01 2.04001890e-09 8.45408392e-10 1.87872189e-10
 1.75180608e-10 2.58365346e-02 1.73780937e-09 9.35240057e-10
 1.95481158e-10 1.68746927e-10 6.10438131e-02 9.50021727e-10
 2.99808796e-10 1.94306494e-10 1.46896134e-10 7.25701743e-01
 3.67598595e-02 8.65902857e-10 2.62583440e-10 1.34746447e-10]"
23,11.5,0.6922401705840745,"[1.50658039e-01 5.08767848e-10 2.23618780e-10 4.83876654e-11
 3.86219446e-11 2.58365354e-02 4.28692840e-10 2.46356443e-10
 4.68257900e-11 4.06802063e-11 6.10438143e-02 2.48807898e-10
 7.53733846e-11 5.14568575e-11 3.75265519e-11 7.25701742e-01
 3.67598670e-02 2.27544242e-10 6.98235225e-11 3.61553458e-11]"
24,12.0,0.6922402386138342,"[1.50658040e-01 1.24125985e-09 5.48905046e-10 1.18330638e-10
 9.94233899e-11 2.58365345e-02 1.07603694e-09 6.10505658e-10
 1.15420246e-10 1.06451512e-10 6.10438130e-02 6.07064346e-10
 1.84604177e-10 1.24642554e-10 9.56979029e-11 7.25701809e-01
 3.67597977e-02 5.49684055e-10 1.70899141e-10 8.80941785e-11]"
25,12.5,0.7289995976463871,"[1.50658047e-01 6.78997904e-09 3.03998932e-09 6.80104111e-10
 6.32160074e-10 2.58365231e-02 6.23050197e-09 3.48847399e-09
 7.31721673e-10 6.26195057e-10 6.10438097e-02 3.36385266e-09
 1.02405017e-09 7.06993222e-10 6.53983876e-10 7.62461161e-01
 4.26667442e-07 3.05922630e-09 1.00757017e-09 5.18150036e-10]"
26,13.0,0.7289999400418898,"[1.50658044e-01 4.78010703e-09 2.22176410e-09 5.52499470e-10
 4.59131034e-10 2.58365280e-02 4.69964095e-09 2.61544479e-09
 5.11730565e-10 6.37680320e-10 6.10438123e-02 2.44084851e-09
 8.31006176e-10 5.53124463e-10 3.80400345e-10 7.62461506e-01
 8.53340877e-08 2.22399648e-09 7.18581959e-10 3.80290011e-10]"
27,13.5,0.729000026793237,"[1.50658039e-01 7.24196112e-10 3.42790884e-10 8.00753140e-11
 7.97885818e-11 2.58365348e-02 7.08739021e-10 3.98368376e-10
 8.70054136e-11 8.21443983e-11 6.10438144e-02 3.81125098e-10
 1.23251405e-10 8.45202287e-11 6.28905121e-11 7.62461598e-01
 9.93000710e-09 3.47515486e-10 1.09746734e-10 5.76068220e-11]"
28,14.0,0.7290000302630137,"[1.50658041e-01 1.90284123e-09 9.41958230e-10 2.29414355e-10
 2.10918038e-10 2.58365329e-02 1.76806387e-09 1.06380229e-09
 2.35031200e-10 2.27376663e-10 6.10437999e-02 1.02679017e-09
 3.52270413e-10 2.33771982e-10 1.71789994e-10 7.62461600e-01
 1.67606187e-08 9.43834192e-10 3.07033298e-10 1.60761788e-10]"
29,14.5,0.7290000625044349,"[1.50658042e-01 2.63808196e-09 1.35239591e-09 3.64927834e-10
 2.75995658e-10 2.58365306e-02 2.40481729e-09 1.52149016e-09
 2.96940695e-10 3.63853373e-10 6.10437662e-02 1.44248367e-09
 5.47316204e-10 3.34840583e-10 2.68478327e-10 7.62461630e-01
 1.65006631e-08 1.32899974e-09 4.63471204e-10 2.39197109e-10]"
30,15.0,0.7290000194176384,"[1.50658070e-01 2.43879385e-08 1.29481897e-08 3.43221063e-09
 2.79500242e-09 2.58364317e-02 2.19660422e-08 1.40143762e-08
 2.89075042e-09 3.25244584e-09 6.10436950e-02 1.38728333e-08
 5.01810662e-09 3.27151255e-09 2.90477740e-09 7.62461559e-01
 1.13468121e-07 1.24918974e-08 4.54457679e-09 2.26385191e-09]"
31,15.5,0.7290019260858556,"[1.50658057e-01 1.49959339e-08 7.86683754e-09 1.95725825e-09
 1.65921399e-09 2.58364080e-02 1.35858988e-08 8.68792793e-09
 1.96332363e-09 1.64922802e-09 6.10419094e-02 8.55220325e-09
 2.99730401e-09 2.01970679e-09 1.70487042e-09 7.62463479e-01
 6.64049297e-08 7.84343725e-09 2.72822108e-09 1.47303437e-09]"
32,16.0,0.7900399301498806,"[1.50658046e-01 6.53577393e-09 3.49682534e-09 8.95128525e-10
 8.06602077e-10 2.58364896e-02 5.86816691e-09 3.86189200e-09
 9.32125254e-10 8.00495844e-10 3.90999620e-06 3.81342318e-09
 1.36016347e-09 9.14092528e-10 6.89453235e-10 8.23501495e-01
 2.46049924e-08 3.46196972e-09 1.18014479e-09 6.73877114e-10]"
33,16.5,0.7900437843229956,"[1.50658040e-01 1.65670995e-09 8.86070930e-10 2.32188315e-10
 2.03464494e-10 2.58365127e-02 1.52705952e-09 9.83578470e-10
 2.37602067e-10 1.99522007e-10 7.70352363e-08 9.76995802e-10
 3.46013757e-10 2.33679556e-10 1.76024452e-10 8.23505354e-01
 6.57587316e-09 8.88551494e-10 3.05976109e-10 1.65151244e-10]"
34,17.0,0.8098106415043272,"[1.50658043e-01 4.54624319e-09 2.38361196e-09 6.41266710e-10
 5.96216706e-10 6.06951959e-03 4.41262696e-09 2.71361564e-09
 6.83983813e-10 5.74728347e-10 1.83691703e-07 2.67437986e-09
 9.25327500e-10 6.18188234e-10 4.72913491e-10 8.43272209e-01
 1.99845017e-08 2.38197989e-09 8.05249280e-10 4.32829211e-10]"
35,17.5,0.8158795373243802,"[1.50658045e-01 6.62351961e-09 3.55773941e-09 1.01960127e-09
 8.81732627e-10 6.22540336e-07 6.40327304e-09 3.97501955e-09
 1.04488632e-09 8.88996662e-10 1.67297794e-07 4.02567170e-09
 1.38014532e-09 9.27044769e-10 7.12961662e-10 8.49341103e-01
 2.56007113e-08 3.54840485e-09 1.22147270e-09 6.55481594e-10]"
36,18.0,0.8158799363084506,"[1.50658043e-01 5.88382030e-09 3.31367534e-09 8.72228316e-10
 8.70197577e-10 2.95538484e-07 5.64812793e-09 3.64737940e-09
 8.30052229e-10 8.43757444e-10 1.05418627e-07 3.69041440e-09
 1.38110788e-09 9.12143002e-10 7.35989175e-10 8.49341504e-01
 1.87010651e-08 3.30705245e-09 1.11874515e-09 6.07847041e-10]"
37,18.5,0.8158798181287417,"[1.50658048e-01 1.08476972e-08 6.03852227e-09 1.97162131e-09
 1.31217516e-09 3.13775063e-07 1.04568145e-08 6.56537965e-09
 1.49384632e-09 1.91806916e-09 1.61075655e-07 6.42934889e-09
 2.42701554e-09 1.73988325e-09 1.40579915e-09 8.49341381e-01
 3.49109501e-08 5.83091946e-09 2.12072831e-09 1.18098214e-09]"
38,19.0,0.8158800236996553,"[1.50658047e-01 8.58371847e-09 4.80723813e-09 1.51702425e-09
 9.99603133e-10 1.85299210e-07 8.32031906e-09 5.24848122e-09
 1.18913795e-09 1.45996981e-09 1.04651276e-07 5.08959594e-09
 1.93100399e-09 1.38133256e-09 1.17527204e-09 8.49341587e-01
 2.69014575e-08 4.59731779e-09 1.81786972e-09 9.59616126e-10]"
39,19.5,0.8158797310572975,"[1.50658053e-01 1.45342327e-08 8.10961257e-09 2.20174608e-09
 1.96011160e-09 3.66881570e-07 1.43606852e-08 9.10283760e-09
 2.13868445e-09 1.83811329e-09 1.65572264e-07 8.65085829e-09
 3.34002814e-09 2.26180132e-09 1.97933470e-09 8.49341288e-01
 4.31726915e-08 7.81101700e-09 2.95096760e-09 1.70532408e-09]"
40,20.0,0.8158796685035895,"[1.50658054e-01 1.81353226e-08 1.02344982e-08 2.73000099e-09
 2.44705548e-09 3.81741666e-07 1.76294216e-08 1.13021346e-08
 2.85540503e-09 2.37346535e-09 1.82944419e-07 1.08812024e-08
 4.06481280e-09 2.77557870e-09 2.47750150e-09 8.49341225e-01
 5.28205607e-08 9.88639129e-09 3.65719403e-09 2.16889612e-09]"
