,lambda,phi,weights
16,8.0,0.7290000273398974,"[1.50658039e-01 1.52992878e-10 6.99953652e-11 1.71082096e-11
 1.59532845e-11 2.58365357e-02 1.38052251e-10 8.21583323e-11
 1.77150315e-11 1.46104117e-11 6.10438147e-02 7.98875556e-11
 2.50036843e-11 1.61690374e-11 1.61140367e-11 7.62461599e-01
 1.11000187e-08 7.06904131e-11 2.27194864e-11 1.21788092e-11]"
17,8.5,0.7289999430225249,"[1.50658042e-01 2.73218017e-09 1.25443116e-09 2.96760279e-10
 2.89947310e-10 2.58365311e-02 2.57227098e-09 1.47792285e-09
 3.35514634e-10 2.84854941e-10 6.10438133e-02 1.44039482e-09
 4.33731070e-10 2.92417507e-10 2.72444197e-10 7.62461512e-01
 8.85665273e-08 1.27436660e-09 4.19657574e-10 2.30636694e-10]"
18,9.0,0.7290000146870865,"[1.50658042e-01 2.54463124e-09 1.24233798e-09 2.99704799e-10
 2.89399848e-10 2.58365320e-02 2.38482026e-09 1.43002250e-09
 3.39791098e-10 2.91954374e-10 6.10438038e-02 1.40960793e-09
 4.39135255e-10 3.02858383e-10 2.61487403e-10 7.62461583e-01
 2.59231368e-08 1.24840145e-09 4.31943183e-10 2.39414742e-10]"
19,9.5,0.7290000407430477,"[1.50658039e-01 2.31836966e-10 1.21120569e-10 3.10898942e-11
 2.68685903e-11 2.58365354e-02 2.24970032e-10 1.31586413e-10
 2.82164405e-11 2.40219608e-11 6.10438108e-02 1.31147438e-10
 4.63337091e-11 3.03218429e-11 2.87612679e-11 7.62461612e-01
 1.47667897e-09 1.20481345e-10 4.18345728e-11 2.17638893e-11]"
20,10.0,0.7290002195313793,"[1.50658043e-01 3.53267821e-09 1.88515827e-09 4.64550784e-10
 3.98001949e-10 2.58364944e-02 3.30842884e-09 2.06816383e-09
 4.80285983e-10 4.32742698e-10 6.10436424e-02 2.03898149e-09
 7.12563111e-10 4.92182268e-10 3.89838532e-10 7.62461787e-01
 1.42043151e-08 1.88316489e-09 6.52814039e-10 3.74669088e-10]"
21,10.5,0.7900427342897103,"[1.50658066e-01 2.26624332e-08 1.23337616e-08 3.07131876e-09
 3.11161138e-09 2.58361153e-02 2.11842537e-08 1.35086868e-08
 3.12099538e-09 3.23620456e-09 1.33730579e-06 1.32669661e-08
 4.74819420e-09 3.22979685e-09 2.76597650e-09 8.23504279e-01
 7.72719347e-08 1.21284162e-08 4.64551351e-09 2.46820348e-09]"
22,11.0,0.8158731577664636,"[1.50658064e-01 2.16196117e-08 1.19169646e-08 3.23436477e-09
 3.14820675e-09 6.53353681e-06 2.05387311e-08 1.31707790e-08
 3.42641365e-09 3.00884504e-09 5.05533989e-07 1.29720930e-08
 5.03538107e-09 3.32510431e-09 2.55811012e-09 8.49334704e-01
 7.00302797e-08 1.20487922e-08 4.41697511e-09 2.34094460e-09]"
23,11.5,0.8158800245941115,"[1.50658043e-01 3.36688213e-09 1.85177977e-09 4.83232070e-10
 4.53308245e-10 2.75367020e-07 3.34485894e-09 2.11656128e-09
 4.98290519e-10 4.90495976e-10 5.99192711e-08 1.97115838e-09
 7.19257651e-10 5.00084727e-10 3.72963148e-10 8.49341592e-01
 1.07633403e-08 1.81145354e-09 6.57634090e-10 3.49120737e-10]"
24,12.0,0.8158801943548949,"[1.50658042e-01 3.72388882e-09 2.07372237e-09 5.34433777e-10
 5.18609610e-10 1.17173147e-07 3.69902211e-09 2.37009815e-09
 5.45624690e-10 5.70015015e-10 4.54448830e-08 2.22827275e-09
 8.15525203e-10 5.54369022e-10 4.57227288e-10 8.49341762e-01
 1.13571644e-08 2.05004495e-09 7.57110219e-10 3.99519750e-10]"
25,12.5,0.815880340017826,"[1.50658039e-01 1.27967279e-09 7.26836761e-10 1.96275276e-10
 1.96275705e-10 2.65776868e-08 1.25008323e-09 8.24792540e-10
 2.16796384e-10 1.89830199e-10 1.19067072e-08 7.72765093e-10
 2.85903026e-10 2.02334007e-10 1.99790626e-10 8.49341911e-01
 3.63146525e-09 7.16829007e-10 2.85059338e-10 1.52105989e-10]"
26,13.0,0.8158795861986021,"[1.50658053e-01 2.27033874e-08 1.31243520e-08 3.78173684e-09
 3.14408598e-09 4.07598119e-07 2.29776160e-08 1.50540335e-08
 3.52493721e-09 4.20542881e-09 1.97276021e-07 1.39234427e-08
 5.57503688e-09 3.81065625e-09 2.67419322e-09 8.49341143e-01
 6.35996626e-08 1.28764422e-08 4.90889912e-09 2.67214879e-09]"
27,13.5,0.815879915352536,"[1.50658047e-01 1.81554743e-08 1.05898070e-08 2.91157576e-09
 2.92390373e-09 1.93023557e-07 1.84825058e-08 1.20870886e-08
 3.15308074e-09 2.99309345e-09 1.23398148e-07 1.13572309e-08
 4.38222214e-09 3.06937767e-09 2.30738977e-09 8.49341479e-01
 4.88435062e-08 1.05332229e-08 3.93339779e-09 2.13175455e-09]"
28,14.0,0.8158803071313502,"[1.50658039e-01 3.51109843e-09 2.06944962e-09 5.88868810e-10
 5.67861966e-10 3.07736902e-08 3.51240430e-09 2.34969152e-09
 6.14875853e-10 6.14580922e-10 2.12917035e-08 2.19112400e-09
 8.83100809e-10 5.93736805e-10 4.41019103e-10 8.49341878e-01
 9.25820409e-09 2.05107004e-09 7.71553090e-10 4.13859307e-10]"
