,stock,date,0
0,Belgium OLO 3.75% 22jun2045,2022-09-23,0.0
1,Belgium OLO 3.75% 22jun2045,2022-09-26,-1304.068947750136
2,Belgium OLO 3.75% 22jun2045,2022-09-27,-2643.0573569399967
3,Belgium OLO 3.75% 22jun2045,2022-09-28,201.69645750017935
4,Belgium OLO 3.75% 22jun2045,2022-09-29,-1982.5076716500016
5,Belgium OLO 3.75% 22jun2045,2022-09-30,783.6539965099296
6,Belgium OLO 3.75% 22jun2045,2022-10-03,3268.7539110449748
7,Belgium OLO 3.75% 22jun2045,2022-10-04,122.59238046008022
8,Belgium OLO 3.75% 22jun2045,2022-10-05,-2323.0167120000033
9,Belgium OLO 3.75% 22jun2045,2022-10-06,-359.19921600002453
10,Belgium OLO 3.75% 22jun2045,2022-10-07,-1564.5819596001306
11,Belgium OLO 3.75% 22jun2045,2022-10-10,-1864.3857249598577
12,Belgium OLO 3.75% 22jun2045,2022-10-11,-338.4286516800769
13,Belgium OLO 3.75% 22jun2045,2022-10-12,-1310.313128199983
14,Belgium OLO 3.75% 22jun2045,2022-10-13,779.1631120750458
15,Belgium OLO 3.75% 22jun2045,2022-10-14,-1668.3744020999507
16,Belgium OLO 3.75% 22jun2045,2022-10-17,1299.7183473498978
17,Belgium OLO 3.75% 22jun2045,2022-10-18,-35.66492556006142
18,Belgium OLO 3.75% 22jun2045,2022-10-19,-100.50748094985124
19,Belgium OLO 3.75% 22jun2045,2022-10-20,-361.90434150012834
20,Belgium OLO 3.75% 22jun2045,2022-10-21,-881.9029293749907
21,Belgium OLO 3.75% 22jun2045,2022-10-24,1812.1053904501227
22,Belgium OLO 3.75% 22jun2045,2022-10-25,2485.5026605199946
23,Belgium OLO 3.75% 22jun2045,2022-10-26,434.39609040000164
24,Belgium OLO 3.75% 22jun2045,2022-10-27,1540.1034597898827
25,Belgium OLO 3.75% 22jun2045,2022-10-28,-220.2316947600159
26,Belgium OLO 3.75% 22jun2045,2022-10-31,-1976.6678755999355
27,Belgium OLO 3.75% 22jun2045,2022-11-01,90.39586028003669
28,Belgium OLO 3.75% 22jun2045,2022-11-02,641.6217738000437
29,Belgium OLO 3.75% 22jun2045,2022-11-03,-1021.2717795000794
30,Belgium OLO 3.75% 22jun2045,2022-11-04,-649.667521860071
31,Belgium OLO 3.75% 22jun2045,2022-11-07,294.4829132400173
32,Belgium OLO 3.75% 22jun2045,2022-11-08,695.5899732399921
33,Belgium OLO 3.75% 22jun2045,2022-11-09,986.5509295999818
34,Belgium OLO 3.75% 22jun2045,2022-11-10,2184.9774016350416
35,Belgium OLO 3.75% 22jun2045,2022-11-11,-2501.129544479938
36,Belgium OLO 3.75% 22jun2045,2022-11-14,-51.43100363497592
37,Belgium OLO 3.75% 22jun2045,2022-11-15,1137.868692659926
38,Belgium OLO 3.75% 22jun2045,2022-11-16,1721.6245875149618
39,Belgium OLO 3.75% 22jun2045,2022-11-17,-22.855078950037296
40,Belgium OLO 3.75% 22jun2045,2022-11-18,468.7249594801176
41,Belgium OLO 3.75% 22jun2045,2022-11-21,640.0205116300078
42,Belgium OLO 3.75% 22jun2045,2022-11-22,261.2918290298817
43,Belgium OLO 3.75% 22jun2045,2022-11-23,1929.5709569999872
44,Belgium OLO 3.75% 22jun2045,2022-11-25,-544.29054299992
45,Belgium OLO 3.75% 22jun2045,2022-11-28,-332.8374712199361
46,Belgium OLO 3.75% 22jun2045,2022-11-29,1313.482808269912
47,Belgium OLO 3.75% 22jun2045,2022-11-30,-162.76510970992263
48,Belgium OLO 3.75% 22jun2045,2022-12-01,1526.2780580199787
49,Belgium OLO 3.75% 22jun2045,2022-12-02,-17.534796999985247
50,Belgium OLO 3.75% 22jun2045,2022-12-05,44.956159950043
51,Belgium OLO 3.75% 22jun2045,2022-12-06,848.4143672549278
52,Belgium OLO 3.75% 22jun2045,2022-12-07,164.98119592495482
53,Belgium OLO 3.75% 22jun2045,2022-12-08,-250.83859593005582
54,Belgium OLO 3.75% 22jun2045,2022-12-09,-1574.974325339816
55,Belgium OLO 3.75% 22jun2045,2022-12-12,453.829050089985
56,Belgium OLO 3.75% 22jun2045,2022-12-13,-22.767869550129035
57,Belgium OLO 3.75% 22jun2045,2022-12-14,-1324.130207449873
58,Belgium OLO 3.75% 22jun2045,2022-12-15,-1975.0927198000659
59,Belgium OLO 3.75% 22jun2045,2022-12-16,-1291.2929081400212
60,Belgium OLO 3.75% 22jun2045,2022-12-19,-692.7954569998974
61,Belgium OLO 3.75% 22jun2045,2022-12-20,-1950.4630048100337
62,Belgium OLO 3.75% 22jun2045,2022-12-21,53.76269703000594
63,Belgium OLO 3.75% 22jun2045,2022-12-22,-748.5020367300028
64,Belgium OLO 3.75% 22jun2045,2022-12-23,-329.99027470510305
65,Belgium OLO 3.75% 22jun2045,2022-12-27,-2104.6692772349866
66,Belgium OLO 3.75% 22jun2045,2022-12-28,-85.88070896987847
67,Belgium OLO 3.75% 22jun2045,2022-12-29,711.0032995249037
68,Belgium OLO 3.75% 22jun2045,2022-12-30,-804.585277024911
69,Freddie Mac 0.375% 23sep2025,2022-09-23,0.0
70,Freddie Mac 0.375% 23sep2025,2022-09-26,-377.8466758675522
71,Freddie Mac 0.375% 23sep2025,2022-09-27,-71.14289886004781
72,Freddie Mac 0.375% 23sep2025,2022-09-28,485.5284510480451
73,Freddie Mac 0.375% 23sep2025,2022-09-29,153.7030049760906
74,Freddie Mac 0.375% 23sep2025,2022-09-30,11.752799831866014
75,Freddie Mac 0.375% 23sep2025,2022-10-03,363.8298541870638
76,Freddie Mac 0.375% 23sep2025,2022-10-04,141.76914764943922
77,Freddie Mac 0.375% 23sep2025,2022-10-05,-294.759947356662
78,Freddie Mac 0.375% 23sep2025,2022-10-06,-186.91833772863174
79,Freddie Mac 0.375% 23sep2025,2022-10-07,-270.5201588750833
80,Freddie Mac 0.375% 23sep2025,2022-10-10,0.0
81,Freddie Mac 0.375% 23sep2025,2022-10-11,-233.76220950612606
82,Freddie Mac 0.375% 23sep2025,2022-10-12,336.1170250261616
83,Freddie Mac 0.375% 23sep2025,2022-10-13,-496.7470085399218
84,Freddie Mac 0.375% 23sep2025,2022-10-14,0.0
85,Freddie Mac 0.375% 23sep2025,2022-10-17,102.09703013996432
86,Freddie Mac 0.375% 23sep2025,2022-10-18,-174.1785688801442
87,Freddie Mac 0.375% 23sep2025,2022-10-19,-340.70833332000575
88,Freddie Mac 0.375% 23sep2025,2022-10-20,-170.38545465594916
89,Freddie Mac 0.375% 23sep2025,2022-10-21,362.9578826341085
90,Freddie Mac 0.375% 23sep2025,2022-10-24,-70.29063261007468
91,Freddie Mac 0.375% 23sep2025,2022-10-25,412.1159762700513
92,Freddie Mac 0.375% 23sep2025,2022-10-26,268.5198809338199
93,Freddie Mac 0.375% 23sep2025,2022-10-27,264.6360299879857
