,internPnl,balance,pnl
2022-09-23,0.0,100000000.0,1.0
2022-09-26,-10969.734995475745,99989030.26500453,0.9998903026500453
2022-09-27,-20676.16050208212,99968354.10450244,0.9996835410450244
2022-09-28,21191.956916248815,99989546.0614187,0.999895460614187
2022-09-29,-1473.3525438097113,99988072.70887488,0.9998807270887489
2022-09-30,8891.04080687078,99996963.74968176,0.9999696374968176
2022-10-03,23201.869672988447,100020165.61935474,1.0002016561935474
2022-10-04,2511.4166148317663,100022677.03596957,1.0002267703596956
2022-10-05,-18156.605662251462,100004520.43030731,1.0000452043030732
2022-10-06,-6531.674066706772,99997988.75624062,0.9999798875624062
2022-10-07,-12315.650091393616,99985673.10614923,0.9998567310614923
2022-10-10,-2704.4020153857373,99982968.70413384,0.9998296870413383
2022-10-11,-2305.1248189688818,99980663.57931487,0.9998066357931488
2022-10-12,-2541.034208765399,99978122.5451061,0.999781225451061
2022-10-13,-5833.4418591821,99972289.10324691,0.9997228910324691
2022-10-14,-7495.401944250629,99964793.70130266,0.9996479370130267
2022-10-17,5219.565318809665,99970013.26662147,0.9997001326662147
2022-10-18,-5365.031570316815,99964648.23505116,0.9996464823505116
2022-10-19,-6799.964833176658,99957848.27021798,0.9995784827021799
2022-10-20,-9299.542956259007,99948548.72726172,0.9994854872726172
2022-10-21,-7901.180753637057,99940647.54650809,0.9994064754650809
2022-10-24,5009.886683744464,99945657.43319184,0.9994565743319184
2022-10-25,16874.389568443967,99962531.82276027,0.9996253182276027
2022-10-26,8179.303765710895,99970711.12652598,0.9997071112652598
2022-10-27,15705.8818697301,99986417.00839572,0.9998641700839571
2022-10-28,-1082.3830828068715,99985334.62531291,0.999853346253129
2022-10-31,-10230.63483760471,99975103.99047531,0.9997510399047531
2022-11-01,2520.166313277101,99977624.15678859,0.9997762415678859
2022-11-02,-6771.2522811227645,99970852.90450746,0.9997085290450746
2022-11-03,-13944.602613335814,99956908.30189413,0.9995690830189413
2022-11-04,774.717001702294,99957683.01889582,0.9995768301889582
2022-11-07,-4781.624349319742,99952901.39454651,0.9995290139454651
2022-11-08,2907.6115074695335,99955809.00605397,0.9995580900605396
2022-11-09,10166.899034250695,99965975.90508823,0.9996597590508823
2022-11-10,39806.354759662165,100005782.2598479,1.0000578225984789
2022-11-11,-4876.774846704293,100000905.48500119,1.000009054850012
2022-11-14,-6331.776070457267,99994573.70893073,0.9999457370893073
2022-11-15,10991.535901082982,100005565.24483182,1.0000556524483182
2022-11-16,10215.033930096643,100015780.27876191,1.000157802787619
2022-11-17,-7804.479072986503,100007975.79968892,1.0000797579968892
2022-11-18,1239.638860336097,100009215.43854925,1.0000921543854926
2022-11-21,-1181.4516601917267,100008033.98688906,1.0000803398688907
2022-11-22,465.69988979324035,100008499.68677886,1.0000849968677885
2022-11-23,7008.851961158751,100015508.53874002,1.0001550853874002
2022-11-25,-2298.415127658399,100013210.12361236,1.0001321012361235
2022-11-28,1767.1787907729395,100014977.30240314,1.0001497730240314
2022-11-29,221.73211216281948,100015199.03451529,1.000151990345153
2022-11-30,-9200.923025270075,100005998.11149003,1.0000599811149002
2022-12-01,26680.505910859505,100032678.61740088,1.0003267861740088
2022-12-02,1091.8567522825012,100033770.47415316,1.0003377047415316
2022-12-05,1962.019611590475,100035732.49376476,1.0003573249376476
2022-12-06,-889.8950250732487,100034842.59873968,1.000348425987397
2022-12-07,8145.276444542424,100042987.87518422,1.0004298787518422
2022-12-08,-660.451985855352,100042327.42319837,1.0004232742319836
2022-12-09,-7981.108606074513,100034346.3145923,1.000343463145923
2022-12-12,-2910.967232641544,100031435.34735966,1.0003143534735965
2022-12-13,14657.255334306796,100046092.60269396,1.0004609260269397
2022-12-14,-949.3224141039057,100045143.28027986,1.0004514328027987
2022-12-15,-9508.84185333375,100035634.43842652,1.0003563443842654
2022-12-16,-6657.473378156165,100028976.96504837,1.0002897696504838
2022-12-19,-7769.446691875773,100021207.51835649,1.0002120751835648
2022-12-20,-10937.615388102882,100010269.90296839,1.000102699029684
2022-12-21,-7006.076091675617,100003263.82687671,1.0000326382687672
2022-12-22,-7121.949200906887,99996141.8776758,0.999961418776758
2022-12-23,-4414.636900156317,99991727.24077564,0.9999172724077564
2022-12-27,-15333.031671154697,99976394.2091045,0.9997639420910449
2022-12-28,-7059.64438938377,99969334.56471512,0.9996933456471512
2022-12-29,1333.65541112167,99970668.22012623,0.9997066822012622
2022-12-30,-3299.9689599876983,99967368.25116624,0.9996736825116624
