,internPnl,balance,pnl
2022-09-23,0.0,100000000.0,1.0
2022-09-26,-13546.045896886713,99986453.95410311,0.9998645395410312
2022-09-27,-38157.92996079113,99948296.02414232,0.9994829602414232
2022-09-28,24142.588015578793,99972438.6121579,0.999724386121579
2022-09-29,-7768.4722545949335,99964670.1399033,0.9996467013990331
2022-09-30,15771.99385881005,99980442.13376212,0.9998044213376213
2022-10-03,35221.97673819422,100015664.1105003,1.0001566411050031
2022-10-04,3936.2256417273943,100019600.33614203,1.0001960033614203
2022-10-05,-26845.690108162256,99992754.64603387,0.9999275464603387
2022-10-06,-8663.839615256034,99984090.80641861,0.9998409080641861
2022-10-07,-19668.951206904556,99964421.85521172,0.9996442185521172
2022-10-10,-6853.910064665899,99957567.94514705,0.9995756794514705
2022-10-11,-5109.216675573854,99952458.72847147,0.9995245872847147
2022-10-12,-11628.881147565822,99940829.84732391,0.9994082984732391
2022-10-13,-6900.241833746446,99933929.60549016,0.9993392960549017
2022-10-14,-13688.282324059852,99920241.3231661,0.999202413231661
2022-10-17,9963.81466915929,99930205.13783526,0.9993020513783526
2022-10-18,-12109.935142037059,99918095.20269322,0.9991809520269322
2022-10-19,-8812.959011576164,99909282.24368165,0.9990928224368165
2022-10-20,-13441.680750754054,99895840.5629309,0.9989584056293089
2022-10-21,-18801.31224275365,99877039.25068814,0.9987703925068814
2022-10-24,6038.906776521499,99883078.15746467,0.9988307815746467
2022-10-25,25469.117447398596,99908547.27491206,0.9990854727491206
2022-10-26,15961.041707430382,99924508.31661949,0.9992450831661949
2022-10-27,24321.431058788974,99948829.74767828,0.9994882974767828
2022-10-28,2954.0755565551854,99951783.82323484,0.9995178382323484
2022-10-31,-14452.590945736309,99937331.2322891,0.9993733123228911
2022-11-01,6434.248949408138,99943765.48123851,0.9994376548123851
2022-11-02,-10214.0749974686,99933551.40624104,0.9993355140624104
2022-11-03,-18470.563488879405,99915080.84275216,0.9991508084275216
2022-11-04,-3179.036990858657,99911901.80576131,0.999119018057613
2022-11-07,-8487.198583015197,99903414.60717829,0.9990341460717829
2022-11-08,3334.1348665342853,99906748.74204482,0.9990674874204483
2022-11-09,12942.667573495612,99919691.40961832,0.9991969140961832
2022-11-10,56396.703803172546,99976088.11342148,0.9997608811342148
2022-11-11,-11266.112337335398,99964822.00108415,0.9996482200108415
2022-11-14,-2516.5133897154283,99962305.48769444,0.9996230548769445
2022-11-15,14205.709986118778,99976511.19768056,0.9997651119768056
2022-11-16,19033.430835970743,99995544.62851653,0.9999554462851652
2022-11-17,-6227.8776703109925,99989316.75084622,0.9998931675084622
2022-11-18,4745.76194542373,99994062.51279163,0.9999406251279164
2022-11-21,-313.2234579595722,99993749.28933369,0.9999374928933369
2022-11-22,320.6657426261054,99994069.9550763,0.999940699550763
2022-11-23,14747.826253965677,100008817.78133027,1.0000881778133026
2022-11-25,-4704.871104643605,100004112.91022563,1.0000411291022564
2022-11-28,612.8101141783122,100004725.7203398,1.000047257203398
2022-11-29,1037.0022170128154,100005762.72255681,1.0000576272255681
2022-11-30,-13920.019948249977,99991842.70260857,0.9999184270260857
2022-12-01,35550.462232088554,100027393.16484065,1.0002739316484066
2022-12-02,4765.98292616146,100032159.14776681,1.0003215914776682
2022-12-05,4994.802438178272,100037153.950205,1.00037153950205
2022-12-06,2819.3225408003864,100039973.2727458,1.000399732727458
2022-12-07,11626.062812076301,100051599.33555788,1.0005159933555787
2022-12-08,29.41287504556658,100051628.74843292,1.0005162874843292
2022-12-09,-13127.415326538885,100038501.33310638,1.0003850133310639
2022-12-12,-1272.4762011469754,100037228.85690524,1.0003722885690525
2022-12-13,15598.528652021834,100052827.38555725,1.0005282738555725
2022-12-14,-5618.4849587930985,100047208.90059847,1.0004720890059846
2022-12-15,-12209.825819519425,100034999.07477894,1.0003499907477895
2022-12-16,-15170.847983325899,100019828.22679561,1.000198282267956
2022-12-19,-16747.7153577258,100003080.5114379,1.000030805114379
2022-12-20,-22167.553645763273,99980912.95779213,0.9998091295779213
2022-12-21,-11065.893615165356,99969847.06417696,0.9996984706417696
2022-12-22,-8938.466133388767,99960908.59804358,0.9996090859804357
2022-12-23,-6430.329485806014,99954478.26855777,0.9995447826855777
2022-12-27,-24303.557719018314,99930174.71083875,0.9993017471083875
2022-12-28,-12663.823761389442,99917510.88707736,0.9991751088707737
2022-12-29,2798.7043140311016,99920309.59139138,0.9992030959139139
2022-12-30,-8754.703377042611,99911554.88801435,0.9991155488801434
